n,G_score,pred,truth
435,1.8358300027522023,COMPOSITE,COMPOSITE
436,1.8358300027522023,COMPOSITE,COMPOSITE
437,1.8358300027522023,COMPOSITE,COMPOSITE
438,1.8358300027522023,COMPOSITE,COMPOSITE
439,1.7178705724054628,COMPOSITE,PRIME
440,1.8358300027522023,COMPOSITE,COMPOSITE
441,1.8358300027522023,COMPOSITE,COMPOSITE
442,1.8358300027522023,COMPOSITE,COMPOSITE
443,1.7199227372662522,COMPOSITE,PRIME
444,1.8358300027522023,COMPOSITE,COMPOSITE
445,1.8358300027522023,COMPOSITE,COMPOSITE
446,1.8358300027522023,COMPOSITE,COMPOSITE
447,1.8358300027522023,COMPOSITE,COMPOSITE
448,1.8358300027522023,COMPOSITE,COMPOSITE
449,1.7229031154122252,COMPOSITE,PRIME
450,1.8358300027522023,COMPOSITE,COMPOSITE
451,1.8358300027522023,COMPOSITE,COMPOSITE
452,1.8358300027522023,COMPOSITE,COMPOSITE
453,1.8358300027522023,COMPOSITE,COMPOSITE
454,1.8358300027522023,COMPOSITE,COMPOSITE
455,1.8358300027522023,COMPOSITE,COMPOSITE
456,1.8358300027522023,COMPOSITE,COMPOSITE
457,1.7267032845328765,COMPOSITE,PRIME
458,1.8358300027522023,COMPOSITE,COMPOSITE
459,1.8358300027522023,COMPOSITE,COMPOSITE
460,1.8358300027522023,COMPOSITE,COMPOSITE
461,1.7285325912719258,COMPOSITE,PRIME
462,1.8358300027522023,COMPOSITE,COMPOSITE
463,1.7294302244492399,COMPOSITE,PRIME
464,1.8358300027522023,COMPOSITE,COMPOSITE
465,1.8358300027522023,COMPOSITE,COMPOSITE
466,1.8358300027522023,COMPOSITE,COMPOSITE
467,1.7311923702978929,COMPOSITE,PRIME
468,1.8358300027522023,COMPOSITE,COMPOSITE
469,1.8358300027522023,COMPOSITE,COMPOSITE
470,1.8358300027522023,COMPOSITE,COMPOSITE
471,1.8358300027522023,COMPOSITE,COMPOSITE
472,1.8358300027522023,COMPOSITE,COMPOSITE
473,1.8358300027522023,COMPOSITE,COMPOSITE
474,1.8358300027522023,COMPOSITE,COMPOSITE
475,1.8358300027522023,COMPOSITE,COMPOSITE
476,1.8358300027522023,COMPOSITE,COMPOSITE
477,1.8358300027522023,COMPOSITE,COMPOSITE
478,1.8358300027522023,COMPOSITE,COMPOSITE
479,1.7362263798533728,COMPOSITE,PRIME
480,1.8358300027522023,COMPOSITE,COMPOSITE
481,1.8358300027522023,COMPOSITE,COMPOSITE
482,1.8358300027522023,COMPOSITE,COMPOSITE
483,1.8358300027522023,COMPOSITE,COMPOSITE
484,1.8358300027522023,COMPOSITE,COMPOSITE
485,1.8358300027522023,COMPOSITE,COMPOSITE
486,1.8358300027522023,COMPOSITE,COMPOSITE
487,1.7393850895906966,COMPOSITE,PRIME
488,1.8358300027522023,COMPOSITE,COMPOSITE
489,1.8358300027522023,COMPOSITE,COMPOSITE
490,1.8358300027522023,COMPOSITE,COMPOSITE
491,1.7409089117949168,COMPOSITE,PRIME
492,1.8358300027522023,COMPOSITE,COMPOSITE
493,1.8358300027522023,COMPOSITE,COMPOSITE
494,1.8358300027522023,COMPOSITE,COMPOSITE
495,1.8358300027522023,COMPOSITE,COMPOSITE
496,1.8358300027522023,COMPOSITE,COMPOSITE
497,1.8358300027522023,COMPOSITE,COMPOSITE
498,1.8358300027522023,COMPOSITE,COMPOSITE
499,1.7438511263092864,COMPOSITE,PRIME
500,1.8358300027522023,COMPOSITE,COMPOSITE
